帖子ID,标题,正文,作者,点赞数,收藏数,评论数,实际评论数,分享数,图片数量,帖子链接,季节_夏日,季节_春日,季节_秋冬,风格_温柔感,风格_高级感,风格_ins风,风格_个性风,风格_清新简约,款式_猫眼,款式_钻饰,款式_花朵,款式_手绘,款式_法式,款式_渐变,甲型_短甲,甲型_穿戴甲,甲型_DIY,甲型_延长甲
68e8aa600000000003035e44,这款香槟色真的好老钱风～,"这款香槟色搭裸粉猫眼好高级又显白呀
最近入了一个修容很好用顺便分享给大家
修容颜色很自然，挺正的不会发红
高光显色度什么的挺ok的🤩
拿来整理妆面会让妆容更干净~
#美甲[话题]# #纯欲美甲[话题]# #猫眼美甲[话题]# #低调老钱风[话题]# #小短甲[话题]# #修容盘推荐[话题]##木柯诗修容盘[话题]##木柯诗[话题]# #香槟色美甲[话题]# #ins短甲[话题]#",奶咖芋妮茶🍊,100000,100000,882,40,53000,1,https://www.xiaohongshu.com/explore/68e8aa600000000003035e44?xsec_token=ABlLeExPEO545kvjKG20k1NnQ3CflMVxPnN4Y3PIHXpRM=&xsec_source=pc_search,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
683d7a4200000000230168d1,夏日小短甲｜希望这个夏天没有尽头🫧,"哈喽哈喽，失踪人口浅浅回归一下~
	
好久没有做蓝色美甲了这次假期给自己安排了一颗蓝色玻璃珠珠！！看起来就跟这几天的温度一样，凉凉的~🎐
	
做完这个美甲我觉得自己应该马上去海边玩水而不是明天回归工位…꒦ິ^꒦ິ
	
#小短甲美甲[话题]# #DIY美甲[话题]# #猫眼美甲[话题]# #玻璃珠美甲[话题]# #蓝色美甲[话题]# #y2k美甲[话题]# #夏日美甲[话题]# #夏天美甲[话题]#",我要吃薯片,50000,42000,599,40,13000,1,https://www.xiaohongshu.com/explore/683d7a4200000000230168d1?xsec_token=ABfuXjAizQqtRNHd4xgGh3BFTikpDyp5tfMce_QlL6LIw=&xsec_source=pc_search,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
69e89cc70000000022000253,莫兰迪色系小短甲pin哆哆,"这手做得我自己都想牵自己🥺
三个猫眼色跳一起居然不违和，反而有种油画感🎨
蓝是清冷雾蓝，粉是透嫩水粉，浅棕像奶茶里加了光
吸完猫眼光泽，转手就是波光粼粼✨
最绝是无名指：乳白打底+不规则的贝母片
像碎贝壳被浪冲到指尖上🐚
不夸张不廉价，阳光下微微透彩光，低调又有细节感
跳色+贝母，不撞款又显气质
黄皮白皮都🉑️，属于那种“别人会问你在哪做的”款
#美甲[话题]#  #猫眼美甲[话题]# #夏日美甲",奶咖芋妮茶🍊,46000,35000,171,40,9255,1,https://www.xiaohongshu.com/explore/69e89cc70000000022000253?xsec_token=ABw2QVmxZDN7PFvR4lUGJn4K80sFnLV0kyOZnCu5asPg0=&xsec_source=pc_search,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
687cbd4400000000120319eb,live📷｜白开水美甲才是yyds！！✨✨,#美甲夏天[话题]# #温柔风美甲[话题]# #百搭美甲[话题]# #简单夏日美甲[话题]# #神仙美甲[话题]# #氛围感美甲[话题]# #白开水美甲[话题]# #夏日小清新美甲[话题]# #耐看美甲[话题]# #糖果色美甲[话题]#,SualiStudio,37000,32000,200,30,16000,1,https://www.xiaohongshu.com/explore/687cbd4400000000120319eb?xsec_token=ABg8jyMgKrqHHzvK6zmRxvDUL404gi_Z8xDXvkg3mSYLE=&xsec_source=pc_search,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
683122f8000000000303f81c,美甲六选一,各位人美心善的姐妹们有谁做过这几款嘛？#帮我选美甲[话题]# #氛围感美甲[话题]# #美甲推荐[话题]# #美甲款式夏天显白[话题]#,椰椰椰椰椰子,32000,23000,406,20,16000,1,https://www.xiaohongshu.com/explore/683122f8000000000303f81c?xsec_token=ABrmRPiYcZs9Wfvin2tknp3TmDja5xiymQDeGi0Oha-LA=&xsec_source=pc_search,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
682094020000000022037424,『美甲』把画布搬到手上🎨巨显白！,"油画主打一个抽象主义，色彩怎么搭都好看！[哇R]
原创设计，严禁商用哦~
#油画美甲[话题]##显白美甲[话题]#  #彩绘美甲[话题]# #撞色美甲[话题]# #艺术美甲[话题]# #指尖艺术[话题]# #手绘美甲[话题]# #花式晒美甲挑战[话题]##AI[话题]#  #拼色美甲[话题]# #亲手晒美甲[话题]# #创意美甲[话题]# #琥珀色美甲[话题]#",是然然喵咪呀,29000,24000,924,20,7760,1,https://www.xiaohongshu.com/explore/682094020000000022037424?xsec_token=AB2SRrWaAKdTulnipBIudhdlM4mujrXlPGzgCMy76yg74=&xsec_source=pc_search,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6886511f0000000015020ee4,夏日美甲,做到了很喜欢的美甲 baby蓝猫眼 原图直出 很夏天！#夏日美甲[话题]# #分享美甲[话题]# #晒晒我的新美甲[话题]#,我先睡了,28000,21000,148,25,5480,1,https://www.xiaohongshu.com/explore/6886511f0000000015020ee4?xsec_token=ABKTw9FREnp1BOziM9osKpUyc0flVHdrZ36jqkbQ5OTyM=&xsec_source=pc_search,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68e866ec000000000302e4d2,原相机📷｜只此青绿✨猫眼渐变美甲！,#约会美甲[话题]# #法式渐变猫眼[话题]# #氛围感美甲[话题]# #猫眼美甲[话题]# #偏光美甲[话题]# #渐变美甲[话题]# #漫糖穿戴甲[话题]# #猫眼[话题]# #穿戴甲[话题]##只此青绿[话题]#,李清照穿戴甲,22000,13000,152,35,3288,1,https://www.xiaohongshu.com/explore/68e866ec000000000302e4d2?xsec_token=ABlLeExPEO545kvjKG20k1NlYaUp7tnnz4CYTsdZEggy4=&xsec_source=pc_search,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
694215f5000000001e028258,指尖生花🌸,#指尖生花[话题]##显白美甲[话题]# #温柔美甲[话题]# #超好看的美甲[话题]# #仙女美甲[话题]# #清透美甲[话题]# #约会美甲[话题]# #温柔又仙气[话题]# #手绘美甲[话题]# #新中式美甲[话题]#,苏Su 轻奢手工穿戴甲,20000,19000,167,25,6129,1,https://www.xiaohongshu.com/explore/694215f5000000001e028258?xsec_token=ABkCVMtM7s2gSDK0tQkM1PwaRMVXaBRUh1lZnSfc6hkSw=&xsec_source=pc_search,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
68ea1aaa000000000401595c,我觉得没翻车,#美甲短甲[话题]# #可爱小短甲[话题]# #可爱风美甲[话题]# #短款美甲[话题]#,Kiss毒药,18000,15000,311,20,5099,1,https://www.xiaohongshu.com/explore/68ea1aaa000000000401595c?xsec_token=ABpsvNL4ijpvDEJFYfe03mC_2UbBYkbbtAWOU2qTe9gkQ=&xsec_source=pc_search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
