评论ID,帖子ID,评论内容,IP属地,评论时间
68ec704e00000000330275da,68e8aa600000000003035e44,[哇R]木柯诗修容盘,湖北,1760325711000
68f43e7400000000330252e4,68e8aa600000000003035e44,手黑合适嘛,浙江,1760837236000
69a14a780000000008033b6c,68e8aa600000000003035e44,谆嘟好美今天才做,湖北,1772178045000
6963a932000000000600ce34,68e8aa600000000003035e44,已做，有一点点翻车,广东,1768139060000
698211910000000006032b36,68e8aa600000000003035e44,感觉有点翻车[笑哭R],广东,1770131859000
683daba0000000000b02e8a8,683d7a4200000000230168d1,吼吼看！！蹲一个猫眼的色号[皱眉R],浙江,1748872096000
68766b80000000001100c8c6,683d7a4200000000230168d1,超级好看！做完才发现无名指应该是透明的哈哈，不过都很好看。我指甲太小啦，就减了好几个钻,福建,1752591234000
6873dfbe00000000130341ab,683d7a4200000000230168d1,没有你那个色[哭惹R],中国香港,1752424385000
68a83b3400000000300315ef,683d7a4200000000230168d1,做了,湖北,1755855670000
68d893b600000000010128e9,683d7a4200000000230168d1,方形版,重庆,1759024055000
69f9728f000000002803c4c9,69e89cc70000000022000253,返图,山东,1777955473000
6a0f06e5000000002901116c,69e89cc70000000022000253,交作业[派对R],广东,1779369705000
69ff45920000000027014953,69e89cc70000000022000253,来返图啦，今晚刚去美甲店做的,浙江,1778337175000
6a049c55000000002900e6f6,69e89cc70000000022000253,今天刚做的[doge],广东,1778687064000
69f590330000000029034a3e,69e89cc70000000022000253,像不像？[萌萌哒R],广东,1777700917000
6a16671a000000002803c3b6,687cbd4400000000120319eb,60做的，总感觉哪里怪怪的,浙江,1779853086000
6886eae600000000020191ac,687cbd4400000000120319eb,我花了80很满意了，加建构,浙江,1753672425000
68cba169000000000b015ca6,687cbd4400000000120319eb,你们都做多少？？288合理吗我去了,上海,1758175595000
68e7cb0d0000000033006c38,687cbd4400000000120319eb,,贵州,1760021265000
695471740000000014037537,687cbd4400000000120319eb,这一样吗？家人们，感觉好奇怪啊[哭惹R][哭惹R],北京,1767141750000
684f86a60000000020025414,683122f8000000000303f81c,宝宝们消息太多了我没注意到捏，想看原帖的我粘在下面了,北京,1750042278000
6832f7c2000000000d01643b,683122f8000000000303f81c,刚刚做完1[黄金薯R],广东,1748170693000
68415544000000000b02d220,683122f8000000000303f81c,宝宝们哪个不会太显黑[哭惹R],四川,1749112159000
68400ec8000000000b014f00,683122f8000000000303f81c,照着第一幅做的,广东,1749028555000
683ed84b000000000103e46b,683122f8000000000303f81c,168值嘛不玻璃心[害羞R],福建,1748949068000
6871250d000000000f03c14d,682094020000000022037424,穿。戴。甲在这儿@🉑爱kai~ 『美甲』纯手工制作画布油画｜,上海,1752245517000
68249751000000000b01e04e,682094020000000022037424,能做成穿戴甲吗[心心眼R],广东,1747228498000
6823fc270000000007028a80,682094020000000022037424,这种看起来好看，应该不太难做吧,北京,1747188775000
68441db9000000000702acfa,682094020000000022037424,交作业啦！！！非常满意！！！！,贵州,1749294527000
6842b2ae0000000007036858,682094020000000022037424,喜欢，真喜欢[害羞R],山东,1749201588000
69bba32a000000000103c963,6886511f0000000015020ee4,感觉有点像诶 后天去做这个！,河南,1773904685000
697f7470000000000800d725,6886511f0000000015020ee4,超级好看[派对R],福建,1769960574000
6a191dac000000002901bacd,6886511f0000000015020ee4,星星是贴纸还是手绘的呀,北京,1780030893000
68b3f1b7000000000b02c9b5,6886511f0000000015020ee4,刚做的,河北,1756623291000
6a19145d000000002903521f,6886511f0000000015020ee4,超级无敌好看，就是有点拍不出来,云南,1780028511000
68f1f21500000000380245c0,68e866ec000000000302e4d2,建模手[哭惹R][哭惹R][哭惹R],浙江,1760686613000
68e99b3a0000000037011044,68e866ec000000000302e4d2,,江苏,1760140092000
68f78b520000000039024f89,68e866ec000000000302e4d2,有没有上蓝下粉的[哇R],江西,1761053522000
68e92ccb000000003901cac8,68e866ec000000000302e4d2,[哭惹R][哭惹R][哭惹R],湖南,1760111822000
68f33150000000003900971c,68e866ec000000000302e4d2,你好，送胶跟工具嘛[害羞R],河南,1760768337000
68ec704e00000000330275da,68e8aa600000000003035e44,[哇R]木柯诗修容盘,湖北,1760325711000
6975e7b1000000000600d469,68e8aa600000000003035e44,手有点黑[笑哭R],江苏,1769334709000
68f639df00000000370256eb,68e8aa600000000003035e44,怎么感觉有点亮朋友们,重庆,1760967138000
6963a932000000000600ce34,68e8aa600000000003035e44,已做，有一点点翻车,广东,1768139060000
