style_id,category,price_level,true_state,view_uv,tryon_uv,want_uv,total_confirm_uv,tryon_confirm_rate,want_to_confirm_rate,hot_score,cold_risk_score,growth_score,label
S0244,cat_eye,low,HotUp,105,41,44,38,0.2857142857142857,0.29545454545454547,0.9464285714285714,0.05357142857142857,0.4357142857142857,Stable
S0168,gradient,low,HotUp,193,51,56,45,0.24444444444444444,0.2857142857142857,0.9428571428571428,0.05714285714285716,0.3,Stable
S0239,solid,low,HotUp,287,109,88,112,0.5510204081632653,0.32954545454545453,0.9375,0.06250000000000001,0.5833333333333333,Stable
S0138,handpaint,low,Potential,19,7,8,9,0.2857142857142857,0.375,0.925,0.075,0.75,Potential
S0127,gradient,mid,HotUp,482,185,247,188,0.27741935483870966,0.2631578947368421,0.917391304347826,0.0826086956521739,0.3239130434782609,Stable
S0053,handpaint,mid,HotUp,424,115,141,127,0.16666666666666666,0.3971631205673759,0.9074074074074074,0.0925925925925926,0.7166666666666666,HotUp
S0002,gradient,high,HotUp,587,171,211,144,0.1858974358974359,0.23696682464454977,0.9,0.09999999999999999,0.49090909090909085,Stable
S0063,french,mid,Potential,19,11,9,8,0.36363636363636365,0.2222222222222222,0.8980263157894737,0.10197368421052634,0.8105263157894738,Potential
S0189,french,mid,HotUp,255,107,101,93,0.12121212121212122,0.44554455445544555,0.888157894736842,0.11184210526315792,0.5171052631578947,Stable
S0082,cat_eye,high,HotUp,313,128,86,69,0.25225225225225223,0.1511627906976744,0.8857142857142856,0.11428571428571427,0.6749999999999999,Stable
S0125,solid,high,HotUp,207,46,81,70,0.2926829268292683,0.3333333333333333,0.88,0.12000000000000001,0.6299999999999999,Stable
S0010,handpaint,mid,HotUp,172,76,62,48,0.2318840579710145,0.20967741935483872,0.8777777777777778,0.12222222222222226,0.32222222222222224,Stable
S0252,cat_eye,mid,HotUp,293,125,110,116,0.18584070796460178,0.24545454545454545,0.8714285714285714,0.1285714285714286,0.4357142857142857,Stable
S0191,rhinestone,mid,HotUp,285,80,106,76,0.2328767123287671,0.3018867924528302,0.8714285714285714,0.1285714285714286,0.3666666666666667,Stable
S0161,solid,mid,HotUp,775,183,162,167,0.2654320987654321,0.2716049382716049,0.8653846153846154,0.13461538461538458,0.325,Stable
S0103,handpaint,high,HotUp,46,11,16,15,0.5,0.3125,0.8624999999999999,0.13749999999999998,0.3,Potential
S0173,handpaint,high,HotUp,241,72,119,96,0.24615384615384617,0.2605042016806723,0.8583333333333333,0.14166666666666666,0.55,Stable
S0035,cat_eye,low,HotUp,631,241,214,185,0.27102803738317754,0.22897196261682243,0.8571428571428571,0.14285714285714288,0.45,Stable
S0115,french,mid,HotUp,470,136,92,128,0.19672131147540983,0.391304347826087,0.8526315789473684,0.14736842105263157,0.5118421052631579,Stable
S0009,french,mid,HotUp,94,21,20,29,0.5,0.65,0.8500000000000001,0.15,0.19342105263157894,Potential
