date,style_id,category,price_level,true_state,view_uv,detail_uv,tryon_uv,tryon_result_uv,want_uv,want_after_tryon_uv,confirm_direct_uv,confirm_detail_uv,confirm_after_tryon_uv,confirm_from_want_uv,total_confirm_uv
2026-01-01,S0001,rhinestone,low,Stable,142,57,49,47,22,4,8,3,7,5,23
2026-01-02,S0001,rhinestone,low,Stable,95,35,28,23,21,3,3,3,5,4,15
2026-01-03,S0001,rhinestone,low,Stable,129,33,33,30,26,2,7,2,5,5,19
2026-01-04,S0001,rhinestone,low,Stable,226,79,68,63,42,5,9,5,7,2,23
2026-01-05,S0001,rhinestone,low,Stable,125,39,37,33,17,3,6,0,4,3,13
2026-01-06,S0001,rhinestone,low,Stable,125,24,35,34,28,2,5,0,3,3,11
2026-01-07,S0001,rhinestone,low,Stable,171,45,35,32,26,3,6,3,7,2,18
2026-01-08,S0001,rhinestone,low,Stable,163,58,53,50,29,9,7,2,4,6,19
2026-01-09,S0001,rhinestone,low,Stable,149,52,32,31,31,2,5,2,2,4,13
2026-01-10,S0001,rhinestone,low,Stable,191,67,44,39,35,2,8,5,5,4,22
2026-01-11,S0001,rhinestone,low,Stable,237,77,63,56,27,4,9,3,5,6,23
2026-01-12,S0001,rhinestone,low,Stable,191,37,63,60,32,8,10,1,6,7,24
2026-01-13,S0001,rhinestone,low,Stable,186,63,59,54,32,3,10,2,12,4,28
2026-01-14,S0001,rhinestone,low,Stable,121,36,32,29,17,3,2,2,4,4,12
2026-01-15,S0001,rhinestone,low,Stable,185,44,50,44,33,2,12,2,5,5,24
2026-01-16,S0001,rhinestone,low,Stable,154,48,39,33,30,2,9,3,7,4,23
2026-01-17,S0001,rhinestone,low,Stable,214,73,68,61,41,7,7,5,7,4,23
2026-01-18,S0001,rhinestone,low,Stable,157,45,43,37,34,4,5,1,4,4,14
2026-01-19,S0001,rhinestone,low,Stable,166,40,51,44,27,4,8,2,1,1,12
2026-01-20,S0001,rhinestone,low,Stable,124,31,40,34,14,3,5,1,6,3,15
2026-01-21,S0001,rhinestone,low,Stable,144,41,44,41,21,6,4,1,7,3,15
2026-01-22,S0001,rhinestone,low,Stable,160,39,49,47,28,6,6,0,4,2,12
2026-01-23,S0001,rhinestone,low,Stable,185,50,62,57,32,6,5,1,10,3,19
2026-01-24,S0001,rhinestone,low,Stable,195,44,43,38,42,8,10,1,10,6,27
2026-01-25,S0001,rhinestone,low,Stable,141,39,43,36,38,6,3,3,4,3,13
2026-01-26,S0001,rhinestone,low,Stable,144,45,26,24,20,2,1,2,8,2,13
2026-01-27,S0001,rhinestone,low,Stable,120,32,31,27,17,1,4,2,3,0,9
2026-01-28,S0001,rhinestone,low,Stable,160,55,38,35,29,1,10,2,11,6,29
2026-01-29,S0001,rhinestone,low,Stable,228,76,49,42,38,2,11,4,4,7,26
2026-01-30,S0001,rhinestone,low,Stable,125,31,37,34,22,3,6,3,3,2,14
2026-01-31,S0001,rhinestone,low,Stable,165,44,46,40,29,1,6,4,7,6,23
2026-02-01,S0001,rhinestone,low,Stable,120,32,32,29,21,2,7,2,6,1,16
2026-02-02,S0001,rhinestone,low,Stable,231,68,55,48,38,7,7,3,5,8,23
2026-02-03,S0001,rhinestone,low,Stable,132,35,31,27,24,3,5,0,2,2,9
2026-02-04,S0001,rhinestone,low,Stable,81,23,20,18,13,0,0,3,2,1,6
2026-02-05,S0001,rhinestone,low,Stable,132,42,22,21,25,3,7,3,2,5,17
2026-02-06,S0001,rhinestone,low,Stable,158,46,32,28,27,3,3,3,3,4,13
2026-02-07,S0001,rhinestone,low,Stable,101,37,26,23,24,7,2,1,2,5,10
2026-02-08,S0001,rhinestone,low,Stable,146,51,39,37,18,0,7,1,5,3,16
2026-02-09,S0001,rhinestone,low,Stable,234,73,57,53,36,4,14,1,5,7,27
2026-02-10,S0001,rhinestone,low,Stable,127,41,23,20,14,2,3,3,1,4,11
2026-02-11,S0001,rhinestone,low,Stable,150,48,42,40,35,4,9,5,5,6,25
2026-02-12,S0001,rhinestone,low,Stable,117,28,32,27,15,3,15,0,5,2,22
2026-02-13,S0001,rhinestone,low,Stable,160,47,49,45,41,9,2,2,4,8,16
2026-02-14,S0001,rhinestone,low,Stable,161,46,30,24,26,3,7,1,5,4,17
2026-02-15,S0001,rhinestone,low,Stable,150,33,44,39,28,7,8,2,4,6,20
2026-02-16,S0001,rhinestone,low,Stable,133,40,33,29,29,3,10,1,1,6,18
2026-02-17,S0001,rhinestone,low,Stable,161,45,46,38,26,3,7,4,7,3,21
2026-02-18,S0001,rhinestone,low,Stable,149,35,54,50,29,7,11,1,6,3,21
2026-02-19,S0001,rhinestone,low,Stable,228,69,60,55,59,8,9,2,8,9,28
2026-02-20,S0001,rhinestone,low,Stable,241,68,63,59,44,3,13,3,12,7,35
2026-02-21,S0001,rhinestone,low,Stable,136,32,27,27,25,4,6,1,7,4,18
2026-02-22,S0001,rhinestone,low,Stable,100,36,15,14,18,2,5,3,1,1,10
2026-02-23,S0001,rhinestone,low,Stable,113,32,33,30,16,2,10,1,6,5,22
2026-02-24,S0001,rhinestone,low,Stable,167,43,52,50,29,3,8,2,6,4,20
2026-02-25,S0001,rhinestone,low,Stable,162,44,47,43,30,8,8,3,7,4,22
2026-02-26,S0001,rhinestone,low,Stable,107,35,25,25,18,5,5,1,2,3,11
2026-02-27,S0001,rhinestone,low,Stable,165,43,56,55,33,6,4,2,4,6,16
2026-02-28,S0001,rhinestone,low,Stable,319,77,90,81,58,7,14,3,12,5,34
2026-03-01,S0001,rhinestone,low,Stable,191,61,67,59,35,6,11,3,8,7,29
2026-03-02,S0001,rhinestone,low,Stable,155,40,34,31,25,3,11,1,3,6,21
2026-03-03,S0001,rhinestone,low,Stable,202,50,54,49,33,4,10,0,4,1,15
2026-03-04,S0001,rhinestone,low,Stable,109,22,30,30,18,2,6,2,6,3,17
