style_id,category,price_level,true_state,view_uv,tryon_uv,want_uv,total_confirm_uv,tryon_confirm_rate,want_to_confirm_rate,hot_score,cold_risk_score,growth_score,label
S0044,solid,mid,Untested,1,0,0,0,0.0,0.0,0.13365384615384615,0.8663461538461539,0.9701923076923076,Untested
S0089,solid,mid,Untested,3,0,0,0,0.0,0.0,0.13365384615384615,0.8663461538461539,0.9913461538461538,Untested
S0033,solid,low,Untested,0,0,0,0,0.0,0.0,0.15,0.85,0.9624999999999999,Untested
S0171,cat_eye,mid,Untested,0,0,0,0,0.0,0.0,0.1526785714285714,0.8473214285714286,0.9517857142857142,Untested
S0269,cat_eye,mid,Untested,1,0,0,0,0.0,0.0,0.1526785714285714,0.8473214285714286,0.9624999999999999,Untested
S0091,rhinestone,mid,Cold_FirstLook,73,2,0,0,0.0,0.0,0.15357142857142855,0.8464285714285714,0.0976190476190476,Untested
S0059,handpaint,mid,Untested,2,0,0,0,0.0,0.0,0.1648148148148148,0.8351851851851853,0.9564814814814814,Untested
S0097,handpaint,mid,Untested,0,0,0,0,0.0,0.0,0.1648148148148148,0.8351851851851853,0.9657407407407407,Untested
S0224,rhinestone,low,Cold_FirstLook,54,6,3,0,0.0,0.0,0.175,0.825,0.4529411764705883,Untested
S0154,gradient,mid,Cold_FirstLook,46,3,1,0,0.0,0.0,0.17826086956521736,0.8217391304347826,0.3173913043478261,Untested
S0217,cat_eye,low,Untested,0,0,0,0,0.0,0.0,0.18214285714285713,0.8178571428571428,1.0,Untested
S0034,french,mid,Cold_FirstLook,57,2,0,0,0.0,0.0,0.18223684210526314,0.8177631578947369,0.3868421052631579,Untested
S0300,cat_eye,mid,Cold_FirstLook,84,2,2,0,0.0,0.0,0.1875,0.8125,0.5803571428571429,Untested
S0047,gradient,mid,Cold_FirstLook,28,1,2,0,0.0,0.0,0.19130434782608696,0.808695652173913,0.8,Untested
S0258,french,mid,Cold_FirstLook,125,6,3,0,0.0,0.0,0.19210526315789472,0.8078947368421052,0.7315789473684211,Cold_FirstLook
S0118,french,mid,Cold_FirstLook,35,0,2,0,0.0,0.0,0.19407894736842107,0.805921052631579,0.6171052631578947,Untested
S0142,gradient,mid,Cold_FirstLook,57,4,0,0,0.0,0.0,0.20108695652173914,0.798913043478261,0.6043478260869566,Untested
S0156,french,mid,Cold_FirstLook,232,6,5,2,0.0,0.0,0.20394736842105263,0.7960526315789473,0.30394736842105263,Stable
S0152,gradient,mid,Cold_FirstLook,28,1,2,0,0.0,0.0,0.2043478260869565,0.7956521739130435,0.767391304347826,Untested
S0253,cat_eye,low,Cold_FirstLook,51,2,0,0,0.0,0.0,0.21428571428571427,0.7857142857142858,0.625,Untested
