style_id,category,price_level,true_state,view_uv,tryon_uv,want_uv,total_confirm_uv,tryon_confirm_rate,want_to_confirm_rate,hot_score,cold_risk_score,growth_score,label
S0238,solid,mid,Potential,14,1,2,3,1.0,0.0,0.5875,0.4125,0.5057692307692307,Potential
S0275,rhinestone,mid,Stable,42,3,6,5,0.6666666666666666,0.16666666666666666,0.5714285714285714,0.42857142857142855,0.3595238095238095,Potential
S0140,solid,mid,Potential,6,4,2,2,0.5,0.0,0.739423076923077,0.26057692307692304,0.9115384615384615,Potential
S0103,handpaint,high,HotUp,46,11,16,15,0.5,0.3125,0.8624999999999999,0.13749999999999998,0.3,Potential
S0009,french,mid,HotUp,94,21,20,29,0.5,0.65,0.8500000000000001,0.15,0.19342105263157894,Potential
S0185,gradient,high,ColdDown,9,2,2,2,0.5,0.0,0.6818181818181818,0.3181818181818182,0.37727272727272726,Potential
S0249,gradient,high,ColdDown,14,2,4,2,0.5,0.0,0.6068181818181818,0.39318181818181813,0.6590909090909092,Potential
S0241,rhinestone,mid,ColdDown,44,2,5,4,0.5,0.2,0.5892857142857142,0.4107142857142857,0.7166666666666667,Potential
S0183,rhinestone,mid,ColdDown,45,4,4,4,0.5,0.0,0.5321428571428571,0.46785714285714286,0.7571428571428571,Potential
S0131,cat_eye,mid,Stable,34,2,6,3,0.5,0.3333333333333333,0.6035714285714285,0.39642857142857146,0.26964285714285713,Potential
S0178,gradient,low,Cold_FirstLook,91,4,6,3,0.5,0.16666666666666666,0.4428571428571428,0.5571428571428572,0.6071428571428572,Potential
S0075,french,mid,Stable,65,19,18,12,0.4666666666666667,0.2222222222222222,0.7782894736842105,0.22171052631578947,0.5407894736842105,Potential
S0135,handpaint,mid,Cold_AfterWant,27,5,8,2,0.4,0.0,0.5527777777777777,0.44722222222222224,0.34259259259259256,Potential
S0063,french,mid,Potential,19,11,9,8,0.36363636363636365,0.2222222222222222,0.8980263157894737,0.10197368421052634,0.8105263157894738,Potential
S0124,cat_eye,mid,HotUp,92,35,28,29,0.3548387096774194,0.17857142857142858,0.8357142857142857,0.16428571428571428,0.5875,Potential
S0291,cat_eye,mid,Potential,15,3,5,6,0.3333333333333333,0.2,0.8303571428571428,0.1696428571428571,0.7017857142857142,Potential
S0169,cat_eye,mid,ColdDown,9,3,1,1,0.3333333333333333,0.0,0.6241071428571429,0.3758928571428571,0.8946428571428572,Potential
S0045,gradient,mid,Cold_Detail,37,3,2,2,0.3333333333333333,0.0,0.5858695652173913,0.4141304347826087,0.4521739130434782,Potential
S0235,handpaint,mid,Cold_AfterWant,45,4,13,1,0.3333333333333333,0.0,0.599074074074074,0.40092592592592596,0.27037037037037037,Potential
S0138,handpaint,low,Potential,19,7,8,9,0.2857142857142857,0.375,0.925,0.075,0.75,Potential
