style_id,style_name,category,price_level,true_state,base_popularity
S0001,Nail Style 0001,rhinestone,low,Stable,140.71
S0002,Nail Style 0002,gradient,high,HotUp,223.347
S0003,Nail Style 0003,handpaint,low,Cold_AfterTryon,122.628
S0004,Nail Style 0004,cat_eye,mid,Untested,9.165
S0005,Nail Style 0005,cat_eye,mid,Stable,75.563
S0006,Nail Style 0006,handpaint,mid,Stable,99.176
S0007,Nail Style 0007,cat_eye,low,Cold_FirstLook,47.765
S0008,Nail Style 0008,solid,mid,Potential,33.284
S0009,Nail Style 0009,french,mid,HotUp,52.886
S0010,Nail Style 0010,handpaint,mid,HotUp,96.446
S0011,Nail Style 0011,handpaint,mid,Cold_AfterTryon,41.305
S0012,Nail Style 0012,french,mid,Cold_AfterTryon,120.049
S0013,Nail Style 0013,handpaint,low,Cold_AfterTryon,99.289
S0014,Nail Style 0014,rhinestone,mid,Stable,88.183
S0015,Nail Style 0015,rhinestone,low,Cold_Detail,149.388
S0016,Nail Style 0016,rhinestone,high,Cold_AfterTryon,175.797
S0017,Nail Style 0017,cat_eye,mid,ColdDown,78.329
S0018,Nail Style 0018,gradient,mid,Stable,94.993
S0019,Nail Style 0019,gradient,low,Cold_Detail,183.678
S0020,Nail Style 0020,gradient,mid,Cold_AfterTryon,167.531
S0021,Nail Style 0021,rhinestone,low,HotUp,102.807
S0022,Nail Style 0022,rhinestone,low,Cold_AfterTryon,182.574
S0023,Nail Style 0023,solid,high,Cold_AfterTryon,251.672
S0024,Nail Style 0024,handpaint,mid,Cold_Detail,170.027
S0025,Nail Style 0025,solid,mid,Cold_AfterWant,85.733
S0026,Nail Style 0026,handpaint,low,Stable,163.607
S0027,Nail Style 0027,solid,mid,Stable,59.32
S0028,Nail Style 0028,cat_eye,low,Cold_FirstLook,76.877
S0029,Nail Style 0029,handpaint,low,Potential,5.018
S0030,Nail Style 0030,solid,mid,Stable,212.339
S0031,Nail Style 0031,cat_eye,high,Stable,80.335
S0032,Nail Style 0032,handpaint,low,Cold_Detail,101.263
S0033,Nail Style 0033,solid,low,Untested,3.322
S0034,Nail Style 0034,french,mid,Cold_FirstLook,68.7
S0035,Nail Style 0035,cat_eye,low,HotUp,289.409
S0036,Nail Style 0036,solid,low,Stable,112.044
S0037,Nail Style 0037,solid,high,Stable,137.138
S0038,Nail Style 0038,cat_eye,low,Cold_AfterTryon,85.02
S0039,Nail Style 0039,cat_eye,mid,Cold_AfterWant,147.272
S0040,Nail Style 0040,handpaint,high,Untested,9.965
S0041,Nail Style 0041,gradient,high,Stable,166.319
S0042,Nail Style 0042,solid,low,ColdDown,126.978
S0043,Nail Style 0043,french,mid,Stable,66.479
S0044,Nail Style 0044,solid,mid,Untested,5.179
S0045,Nail Style 0045,gradient,mid,Cold_Detail,48.555
S0046,Nail Style 0046,gradient,mid,HotUp,145.939
S0047,Nail Style 0047,gradient,mid,Cold_FirstLook,35.679
S0048,Nail Style 0048,cat_eye,low,Cold_Detail,55.318
S0049,Nail Style 0049,cat_eye,high,Cold_Detail,184.074
S0050,Nail Style 0050,handpaint,mid,Stable,140.661
S0051,Nail Style 0051,rhinestone,mid,Cold_AfterWant,101.98
S0052,Nail Style 0052,french,mid,Stable,118.383
S0053,Nail Style 0053,handpaint,mid,HotUp,133.867
S0054,Nail Style 0054,french,mid,Stable,194.204
S0055,Nail Style 0055,french,high,Stable,191.369
S0056,Nail Style 0056,french,low,ColdDown,46.541
S0057,Nail Style 0057,handpaint,high,Stable,142.377
S0058,Nail Style 0058,french,mid,Stable,45.91
S0059,Nail Style 0059,handpaint,mid,Untested,16.477
S0060,Nail Style 0060,handpaint,mid,HotUp,22.297
S0061,Nail Style 0061,solid,mid,Stable,136.985
S0062,Nail Style 0062,solid,mid,HotUp,64.07
S0063,Nail Style 0063,french,mid,Potential,34.175
S0064,Nail Style 0064,solid,mid,Stable,65.608
S0065,Nail Style 0065,solid,mid,Stable,73.177
S0066,Nail Style 0066,french,low,Stable,119.132
S0067,Nail Style 0067,rhinestone,mid,Cold_Detail,149.043
S0068,Nail Style 0068,gradient,mid,Stable,138.362
S0069,Nail Style 0069,rhinestone,mid,HotUp,165.688
S0070,Nail Style 0070,french,mid,Stable,80.428
S0071,Nail Style 0071,french,mid,Cold_Detail,115.437
S0072,Nail Style 0072,french,low,Cold_AfterTryon,154.769
S0073,Nail Style 0073,solid,low,Stable,115.117
S0074,Nail Style 0074,solid,mid,Cold_AfterWant,126.094
S0075,Nail Style 0075,french,mid,Stable,70.943
S0076,Nail Style 0076,solid,mid,Stable,145.121
S0077,Nail Style 0077,rhinestone,mid,Stable,95.1
S0078,Nail Style 0078,gradient,high,Cold_AfterTryon,27.324
S0079,Nail Style 0079,handpaint,mid,Stable,45.154
S0080,Nail Style 0080,cat_eye,low,Cold_AfterTryon,153.574
S0081,Nail Style 0081,rhinestone,high,Stable,16.784
S0082,Nail Style 0082,cat_eye,high,HotUp,134.379
S0083,Nail Style 0083,french,mid,Cold_FirstLook,98.738
S0084,Nail Style 0084,cat_eye,mid,Stable,85.817
S0085,Nail Style 0085,handpaint,mid,Potential,30.949
S0086,Nail Style 0086,gradient,mid,ColdDown,112.659
S0087,Nail Style 0087,french,mid,Stable,112.162
S0088,Nail Style 0088,rhinestone,low,Stable,201.231
S0089,Nail Style 0089,solid,mid,Untested,6.274
S0090,Nail Style 0090,solid,mid,Cold_FirstLook,173.069
S0091,Nail Style 0091,rhinestone,mid,Cold_FirstLook,96.557
S0092,Nail Style 0092,rhinestone,high,Cold_AfterTryon,171.496
S0093,Nail Style 0093,solid,mid,Stable,199.143
S0094,Nail Style 0094,handpaint,high,Stable,109.674
S0095,Nail Style 0095,rhinestone,high,HotUp,134.161
S0096,Nail Style 0096,solid,low,Cold_FirstLook,78.717
S0097,Nail Style 0097,handpaint,mid,Untested,5.944
S0098,Nail Style 0098,solid,high,HotUp,97.579
S0099,Nail Style 0099,french,low,Stable,72.048
S0100,Nail Style 0100,french,mid,Stable,41.395
S0101,Nail Style 0101,cat_eye,mid,HotUp,63.806
S0102,Nail Style 0102,rhinestone,low,Cold_AfterTryon,258.89
S0103,Nail Style 0103,handpaint,high,HotUp,28.863
S0104,Nail Style 0104,cat_eye,mid,HotUp,130.498
S0105,Nail Style 0105,cat_eye,high,Cold_AfterTryon,105.769
S0106,Nail Style 0106,french,low,Cold_AfterWant,121.598
S0107,Nail Style 0107,gradient,mid,Cold_AfterTryon,78.053
S0108,Nail Style 0108,french,mid,Potential,16.32
S0109,Nail Style 0109,solid,low,Stable,69.63
S0110,Nail Style 0110,solid,mid,Cold_Detail,106.56
S0111,Nail Style 0111,french,high,Cold_AfterWant,81.188
S0112,Nail Style 0112,handpaint,mid,Cold_Detail,73.943
S0113,Nail Style 0113,handpaint,mid,Cold_AfterWant,373.355
S0114,Nail Style 0114,solid,high,Stable,250.246
S0115,Nail Style 0115,french,mid,HotUp,213.4
S0116,Nail Style 0116,solid,mid,Cold_AfterWant,285.874
S0117,Nail Style 0117,cat_eye,mid,Cold_FirstLook,122.235
S0118,Nail Style 0118,french,mid,Cold_FirstLook,47.877
S0119,Nail Style 0119,cat_eye,mid,Stable,71.965
S0120,Nail Style 0120,solid,low,Stable,163.311
S0121,Nail Style 0121,french,mid,Cold_AfterTryon,88.783
S0122,Nail Style 0122,french,mid,Cold_AfterWant,99.827
S0123,Nail Style 0123,handpaint,mid,Stable,52.328
S0124,Nail Style 0124,cat_eye,mid,HotUp,44.952
S0125,Nail Style 0125,solid,high,HotUp,109.411
S0126,Nail Style 0126,handpaint,low,Stable,119.712
